"","Colony","Nest","Day","ScaledX","ScaledY","Bin","Sex","Ratio"
"162",12,"Tube",3,5.529188742,3.419179544,6,"M",0.863636363636364
"163",12,"Tube",3,6.33124908,2.330143488,7,"M",0.863636363636364
"164",12,"Tube",3,6.046725533,1.721854305,7,"M",0.863636363636364
"165",12,"Tube",3,4.514348786,1.680156365,8,"M",0.863636363636364
"166",12,"Tube",3,4.470198675,1.794210817,8,"F",0.863636363636364
"167",12,"Tube",5,3.682142594,0.776836772,1,"M",0.793103448275862
"168",12,"Tube",5,3.662490789,1.378653279,1,"M",0.793103448275862
"169",12,"Tube",5,3.318594326,1.747113117,1,"F",0.793103448275862
"170",12,"Tube",5,2.485261606,1.674649963,2,"M",0.793103448275862
"171",12,"Tube",5,2.278924097,1.549373618,2,"M",0.793103448275862
"172",12,"Tube",5,2.094694178,1.748341931,2,"M",0.793103448275862
"173",12,"Tube",5,2.005650332,1.556129329,2,"M",0.793103448275862
"174",12,"Tube",5,1.642102063,1.887743183,3,"M",0.793103448275862
"175",12,"Tube",5,1.433308769,1.946696758,3,"F",0.793103448275862
"176",12,"Tube",5,1.421026161,2.516580693,3,"F",0.793103448275862
"177",12,"Tube",5,1.548760133,2.256203021,3,"F",0.793103448275862
"178",12,"Tube",5,1.531564112,2.663964628,3,"M",0.793103448275862
"179",12,"Tube",5,1.656840457,3.160156595,4,"M",0.793103448275862
"180",12,"Tube",5,1.62736367,3.280521371,4,"M",0.793103448275862
"181",12,"Tube",5,1.696144068,3.440186072,4,"M",0.793103448275862
"182",12,"Tube",5,1.784574429,3.133137436,4,"M",0.793103448275862
"183",12,"Tube",5,2.6958972,3.422991894,4,"F",0.793103448275862
"184",12,"Tube",5,3.266396463,3.253500368,5,"M",0.793103448275862
"185",12,"Tube",5,4.003316139,3.131908622,5,"M",0.793103448275862
"186",12,"Tube",5,4.20412675,3.406411201,5,"F",0.793103448275862
"187",12,"Tube",5,4.745762712,3.246131172,6,"M",0.793103448275862
"188",12,"Tube",5,4.913411938,3.161385409,6,"M",0.793103448275862
"189",12,"Tube",5,5.138785925,3.187177598,6,"M",0.793103448275862
"190",12,"Tube",5,5.447678703,3.225865881,6,"F",0.793103448275862
"191",12,"Tube",5,6.162490789,3.026897568,6,"M",0.793103448275862
"192",12,"Tube",5,6.011422255,2.827929256,7,"M",0.793103448275862
"193",12,"Tube",5,6.188282977,2.072586588,7,"M",0.793103448275862
