"","Colony","Nest","Day","ScaledX","ScaledY","Density","Corner","Bin","ToBrood"
"230",11,"Circle",6,3.071079044,2.141544118,"Low","N",6,0.0808260828098385
"231",11,"Circle",6,4.375,2.232229779,"Low","N",6,0.0150181686599596
"232",11,"Circle",6,4.541667279,2.416053309,"Low","N",6,0.0289954116743216
"233",11,"Circle",6,3.100490809,3.004288603,"Low","N",8,0.0947805858847331
"234",11,"Circle",8,3.146520702,1.865865354,"Low","N",5,0.0798715807632532
"235",11,"Circle",8,2.802824846,2.891379476,"Low","N",8,0.107911407537507
"236",11,"Circle",8,2.530965139,2.594747659,"Low","N",7,0.120519184552256
"237",11,"Circle",8,4.364008467,2.831929382,"Low","N",8,0.0422198625340402
"238",11,"Circle",8,4.886054606,1.514738236,"Low","N",4,0.0777370859923358
"239",11,"Circle",9,5.026961397,1.543505515,"Low","N",4,0.0844866240578442
"240",11,"Circle",9,3.174632353,3.148897059,"Low","N",8,0.0942653482918157
"241",11,"Circle",9,3.169117647,2.257965074,"Low","N",6,0.0706293674013036
"242",11,"Circle",9,4.243259191,2.379288603,"Low","N",6,0.0102871961823454
"243",11,"Circle",9,4.041053309,2.212623162,"Low","N",6,0.00883086176184241
"244",11,"Circle",10,4.915779653,1.384072502,"Low","N",3,0.122507023061437
"245",11,"Circle",10,4.906490575,2.405870994,"Low","N",6,0.0825084156509688
"246",11,"Circle",10,4.520064964,2.404013179,"Low","N",6,0.0552903171499355
"247",11,"Circle",10,3.04310169,2.545207152,"Low","N",7,0.0555650529444205
"248",11,"Circle",10,2.940921841,3.082115814,"Low","N",8,0.0704122467280907
"249",11,"Circle",11,2.234291237,2.368065169,"Low","N",6,0.153018426148566
"250",11,"Circle",11,3.055964654,3.088488586,"Low","N",8,0.109473746922751
"251",11,"Circle",11,5.031296024,1.577687776,"Low","N",4,0.0731515915823893
"252",11,"Circle",11,3.835296392,2.513499632,"Low","N",7,0.0394937203175245
"253",11,"Circle",11,4.247667526,2.596956922,"Low","N",7,0.0227252611030063
"254",11,"Circle",12,2.601105878,2.846646571,"Low","N",8,0.127332582432513
"255",11,"Circle",12,2.849787114,3.075231726,"Low","N",8,0.117434411380725
"256",11,"Circle",12,3.678724567,3.027505652,"Low","N",8,0.0682357341378945
"257",11,"Circle",12,4.847400151,1.769655237,"Low","N",4,0.0574635256318503
"258",11,"Circle",13,4.067613113,2.36196319,"Low","N",6,0.018954331801217
"259",11,"Circle",13,4.215874233,2.147239264,"Low","N",6,0.0132350535245464
"260",11,"Circle",13,4.992969709,1.991309433,"Low","N",5,0.0539314338518192
"261",11,"Circle",13,2.84828796,2.287831672,"Low","N",6,0.107249600349328
"262",11,"Circle",13,3.372315951,3.142254601,"Low","N",8,0.0925705043470828
"263",12,"Circle",1,3.951567444,1.538301415,"Low","N",5,0.0515545225039547
"264",12,"Circle",2,3.419629895,2.152204935,"Low","N",7,0.0332246987146171
"265",12,"Circle",3,3.097499411,1.610270377,"Low","N",5,0.102063181370352
"266",12,"Circle",4,3.095828923,1.987309946,"Low","N",6,0.0565383746349974
"267",12,"Circle",6,4.107496918,1.52614893,"Low","N",4,0.0690883311765138
"268",12,"Circle",8,2.605105416,1.531468077,"Low","N",5,0.112479277865807
"269",12,"Circle",10,2.938836072,1.302816901,"Low","N",4,0.108633973034578
"270",12,"Circle",11,3.062611624,1.539005004,"Low","N",5,0.0258952117922272
"271",12,"Circle",12,2.848344881,1.22786759,"Low","N",3,0.11868299455988
"272",13,"Circle",1,3.103331286,1.336337019,"Low","N",7,0.102091276034701
"273",13,"Circle",1,3.389981572,1.117936118,"Low","N",5,0.0622218595795403
"274",13,"Circle",1,4.110018428,1.076986077,"Low","N",5,0.0727544578940537
"275",13,"Circle",2,3.67760974,0.739749086,"Low","N",3,0.054033788528358
"276",13,"Circle",2,3.958714392,0.847541095,"Low","N",4,0.0534852967759129
"277",13,"Circle",2,3.470479996,0.955333105,"Low","N",4,0.0444150766592479
"278",13,"Circle",3,3.434489832,0.707216745,"Low","N",3,0.0911089252360716
"279",13,"Circle",3,3.596780393,0.703258438,"Low","N",3,0.0840493524875181
"280",13,"Circle",3,3.541364104,1.202005041,"Low","N",6,0.0210803380815431
"281",13,"Circle",4,3.877374784,0.859958981,"Low","N",4,0.0416387515930745
"282",13,"Circle",4,3.472942573,0.993810449,"Low","N",5,0.0430729177687551
"283",13,"Circle",4,3.082901554,1.016839378,"Low","N",5,0.105755886885752
"284",13,"Circle",6,3.378220141,1.088992974,"Low","N",5,0.0524575775933828
"285",13,"Circle",6,3.62412178,1.295862607,"Low","N",6,0.0134272748877248
"286",13,"Circle",6,3.222092116,1.2490242,"Low","N",6,0.0730845851902064
"287",13,"Circle",7,3.28689759,1.147087726,"Low","N",6,0.0466649970838062
"288",13,"Circle",7,3.008283133,1.086846762,"Low","N",5,0.0929582236624455
"289",13,"Circle",7,4.122740964,1.142068901,"Low","N",5,0.090423201050523
"290",13,"Circle",8,3.520574537,0.966928053,"Low","N",4,0.0561112454221124
"291",13,"Circle",8,3.308506904,1.220651828,"Low","N",6,0.0747806609735616
"292",13,"Circle",8,3.297146138,1.466801759,"Low","N",7,0.087654720357698
"293",13,"Circle",10,3.358237731,1.608839003,"Low","N",8,0.0787404953273735
"294",13,"Circle",10,3.641889153,1.651893966,"Low","N",8,0.0676935554925525
"295",13,"Circle",10,3.872357715,1.444218874,"Low","N",7,0.0477083678117346
"296",13,"Circle",11,4.119556914,1.14973262,"Low","N",6,0.090380280183126
"297",13,"Circle",11,3.947669977,1.249045073,"Low","N",6,0.068166245477505
"298",13,"Circle",11,3.665011459,1.050420168,"Low","N",5,0.0149558798847485
"299",13,"Circle",12,4.277777778,0.862068966,"Low","N",4,0.144006843325596
"300",13,"Circle",12,3.710727969,0.996168582,"Low","N",5,0.0527104776437627
