"Colony","Day","Nest","Bin","PropBrood","Density","Corner"
12,11,"Tube",8,0.0224719101123595,"Low","N"
12,12,"Tube",1,0,"Low","Y"
12,12,"Tube",2,0,"Low","N"
12,12,"Tube",3,0.0957446808510638,"Low","Y"
12,12,"Tube",4,0.0851063829787234,"Low","Y"
12,12,"Tube",5,0.308510638297872,"Low","N"
12,12,"Tube",6,0.276595744680851,"Low","Y"
12,12,"Tube",7,0.202127659574468,"Low","Y"
12,12,"Tube",8,0.0319148936170213,"Low","N"
12,13,"Tube",1,0,"Low","Y"
12,13,"Tube",2,0,"Low","N"
12,13,"Tube",3,0.116883116883117,"Low","Y"
12,13,"Tube",4,0.181818181818182,"Low","Y"
12,13,"Tube",5,0.298701298701299,"Low","N"
12,13,"Tube",6,0.142857142857143,"Low","Y"
12,13,"Tube",7,0.181818181818182,"Low","Y"
12,13,"Tube",8,0.0779220779220779,"Low","N"
12,14,"Tube",1,0,"Low","Y"
12,14,"Tube",2,0,"Low","N"
12,14,"Tube",3,0.0952380952380952,"Low","Y"
12,14,"Tube",4,0.297619047619048,"Low","Y"
12,14,"Tube",5,0.107142857142857,"Low","N"
12,14,"Tube",6,0.154761904761905,"Low","Y"
12,14,"Tube",7,0.30952380952381,"Low","Y"
12,14,"Tube",8,0.0357142857142857,"Low","N"
12,1,"Circle",1,0,"Low","Y"
12,1,"Circle",2,0.00568181818181818,"Low","N"
12,1,"Circle",3,0.125,"Low","N"
12,1,"Circle",4,0.113636363636364,"Low","N"
12,1,"Circle",5,0.1875,"Low","N"
12,1,"Circle",6,0.198863636363636,"Low","N"
12,1,"Circle",7,0.198863636363636,"Low","N"
12,1,"Circle",8,0.170454545454545,"Low","N"
12,2,"Circle",1,0,"Low","Y"
12,2,"Circle",2,0.0119760479041916,"Low","N"
12,2,"Circle",3,0.107784431137725,"Low","N"
12,2,"Circle",4,0.173652694610778,"Low","N"
12,2,"Circle",5,0.18562874251497,"Low","N"
12,2,"Circle",6,0.18562874251497,"Low","N"
12,2,"Circle",7,0.18562874251497,"Low","N"
12,2,"Circle",8,0.149700598802395,"Low","N"
12,3,"Circle",1,0.0292397660818713,"Low","Y"
12,3,"Circle",2,0.0584795321637427,"Low","N"
12,3,"Circle",3,0.140350877192982,"Low","N"
12,3,"Circle",4,0.105263157894737,"Low","N"
12,3,"Circle",5,0.169590643274854,"Low","N"
12,3,"Circle",6,0.12280701754386,"Low","N"
12,3,"Circle",7,0.16374269005848,"Low","N"
12,3,"Circle",8,0.210526315789474,"Low","N"
12,4,"Circle",1,0,"Low","Y"
12,4,"Circle",2,0.0113636363636364,"Low","N"
12,4,"Circle",3,0.119318181818182,"Low","N"
12,4,"Circle",4,0.153409090909091,"Low","N"
12,4,"Circle",5,0.130681818181818,"Low","N"
12,4,"Circle",6,0.227272727272727,"Low","N"
12,4,"Circle",7,0.204545454545455,"Low","N"
12,4,"Circle",8,0.153409090909091,"Low","N"
12,6,"Circle",1,0,"Low","Y"
12,6,"Circle",2,0.0121212121212121,"Low","N"
12,6,"Circle",3,0.103030303030303,"Low","N"
12,6,"Circle",4,0.127272727272727,"Low","N"
12,6,"Circle",5,0.16969696969697,"Low","N"
12,6,"Circle",6,0.187878787878788,"Low","N"
