"Colony","Nest","Day","ScaledX","ScaledY","Bin","ScaledDist","Density","WorkerType","Corner"
1,"Tube",5,6.22281383,3.315602837,6,0.778269471204919,"High","Worker","Y"
1,"Tube",5,6.359929078,3.122930851,6,0.789809056030328,"High","Worker","Y"
1,"Tube",5,6.399526596,2.427304965,7,0.837923343428935,"High","Worker","Y"
1,"Tube",5,6.557920213,2.970448582,6,0.807784251247618,"High","Worker","Y"
1,"Tube",5,6.608746454,3.053191489,6,0.8125696234322,"High","Worker","Y"
1,"Tube",5,6.678487589,2.658391844,7,0.838864739278969,"High","Worker","Y"
1,"Tube",5,6.682033688,3.197398936,6,0.8198138954606,"High","Worker","Y"
1,"Tube",5,2.170212766,1.570921986,2,0.250846449331967,"High","Worker","N"
1,"Tube",5,3.276595745,1.789007092,2,0.169795282839172,"High","Worker","N"
1,"Tube",5,6.382978723,2.494680851,7,0.83161195025442,"High","Worker","Y"
1,"Tube",5,2.947398936,3.287824468,4,0.479663041341123,"High","Worker","Y"
1,"Tube",5,6.695035461,2.988179078,6,0.820446578591781,"High","Worker","Y"
1,"Tube",5,3.422576241,3.169030142,5,0.519889163868375,"High","Worker","N"
1,"Tube",5,6.52245922,2.542553191,7,0.834729493022344,"High","Worker","Y"
1,"Tube",5,4.22931383,3.088652482,5,0.593254582772323,"High","Worker","N"
1,"Tube",5,5.404255319,1.757092199,8,0.96201675525327,"High","Worker","N"
1,"Tube",5,6.475177305,3.17966844,6,0.80066573729538,"High","Worker","Y"
1,"Tube",5,2.435579787,3.142434397,4,0.430686836870228,"High","Worker","Y"
1,"Tube",5,5.923758865,3.283687943,6,0.750521476460571,"High","Worker","Y"
1,"Tube",5,1.90070922,2.199764184,3,0.309523536413874,"High","Worker","Y"
1,"Tube",5,5.540780142,1.602836879,8,0.953330069767223,"High","Worker","N"
1,"Tube",5,5.387707447,3.329787234,6,0.701684643776285,"High","Worker","Y"
1,"Tube",5,2.016547872,3.20035461,4,0.406984157890074,"High","Worker","Y"
1,"Tube",5,2.459219858,1.489361702,2,0.223388993434774,"High","Worker","N"
1,"Tube",5,4.539007092,3.29787234,5,0.623573935153021,"High","Worker","N"
1,"Tube",5,6.464539007,3.333333333,6,0.80063561621131,"High","Worker","Y"
1,"Tube",5,6.381796099,2.212175532,7,0.856180610145925,"High","Worker","Y"
1,"Tube",5,3.226359929,3.125296099,5,0.501394356589029,"High","Worker","N"
1,"Tube",5,3.406028369,1.437943262,2,0.137389099500574,"High","Worker","N"
1,"Tube",5,1.762411348,3.128842199,4,0.395545981819001,"High","Worker","Y"
1,"Tube",5,1.828014184,1.524822695,3,0.281652746798039,"High","Worker","Y"
1,"Tube",5,3.735815603,3.325058511,5,0.550887176339472,"High","Worker","N"
1,"Tube",5,5.812056738,1.572695035,8,0.932789659623113,"High","Worker","N"
1,"Tube",5,1.730496454,2.172576241,3,0.314455502816912,"High","Worker","Y"
1,"Tube",5,1.746453901,1.973404255,3,0.301303301757169,"High","Worker","Y"
1,"Tube",5,1.984632979,2.197398936,3,0.308175359319563,"High","Worker","Y"
1,"Tube",5,2.296099291,1.590425532,2,0.239700450315884,"High","Worker","N"
