"","Colony","Day","Nest","Bin","PropBrood","Density","Corner"
"289",2,4,"Circle",1,0,"High","Y"
"290",2,4,"Circle",2,0,"High","N"
"291",2,4,"Circle",3,0,"High","N"
"292",2,4,"Circle",4,0.0303030303030303,"High","N"
"293",2,4,"Circle",5,0.242424242424242,"High","N"
"294",2,4,"Circle",6,0.212121212121212,"High","N"
"295",2,4,"Circle",7,0.363636363636364,"High","N"
"296",2,4,"Circle",8,0.151515151515152,"High","N"
"297",2,12,"Circle",1,0,"High","Y"
"298",2,12,"Circle",2,0,"High","N"
"299",2,12,"Circle",3,0,"High","N"
"300",2,12,"Circle",4,0,"High","N"
"301",2,12,"Circle",5,0.15625,"High","N"
"302",2,12,"Circle",6,0.34375,"High","N"
"303",2,12,"Circle",7,0.375,"High","N"
"304",2,12,"Circle",8,0.125,"High","N"
"305",2,11,"Circle",1,0,"High","Y"
"306",2,11,"Circle",2,0,"High","N"
"307",2,11,"Circle",3,0,"High","N"
"308",2,11,"Circle",4,0,"High","N"
"309",2,11,"Circle",5,0.241379310344828,"High","N"
"310",2,11,"Circle",6,0.206896551724138,"High","N"
"311",2,11,"Circle",7,0.448275862068966,"High","N"
"312",2,11,"Circle",8,0.103448275862069,"High","N"
"313",2,6,"Circle",1,0,"High","Y"
"314",2,6,"Circle",2,0,"High","N"
"315",2,6,"Circle",3,0,"High","N"
"316",2,6,"Circle",4,0,"High","N"
"317",2,6,"Circle",5,0.027027027027027,"High","N"
"318",2,6,"Circle",6,0.297297297297297,"High","N"
"319",2,6,"Circle",7,0.297297297297297,"High","N"
"320",2,6,"Circle",8,0.378378378378378,"High","N"
"321",3,5,"Tube",1,0.159340659340659,"High","Y"
"322",3,5,"Tube",2,0.21978021978022,"High","N"
"323",3,5,"Tube",3,0.296703296703297,"High","Y"
"324",3,5,"Tube",4,0.225274725274725,"High","Y"
"325",3,5,"Tube",5,0.0494505494505494,"High","N"
"326",3,5,"Tube",6,0.0164835164835165,"High","Y"
"327",3,5,"Tube",7,0.021978021978022,"High","Y"
"328",3,5,"Tube",8,0.010989010989011,"High","N"
"329",3,7,"Tube",1,0.121827411167513,"High","Y"
"330",3,7,"Tube",2,0.233502538071066,"High","N"
"331",3,7,"Tube",3,0.274111675126904,"High","Y"
"332",3,7,"Tube",4,0.274111675126904,"High","Y"
"333",3,7,"Tube",5,0.0355329949238579,"High","N"
"334",3,7,"Tube",6,0.0304568527918782,"High","Y"
"335",3,7,"Tube",7,0.0253807106598985,"High","Y"
"336",3,7,"Tube",8,0.0050761421319797,"High","N"
"337",3,13,"Tube",1,0.132352941176471,"High","Y"
"338",3,13,"Tube",2,0.318627450980392,"High","N"
"339",3,13,"Tube",3,0.0980392156862745,"High","Y"
"340",3,13,"Tube",4,0.254901960784314,"High","Y"
"341",3,13,"Tube",5,0.0931372549019608,"High","N"
"342",3,13,"Tube",6,0.0931372549019608,"High","Y"
"343",3,13,"Tube",7,0.00490196078431373,"High","Y"
"344",3,13,"Tube",8,0.00490196078431373,"High","N"
"345",3,11,"Tube",1,0.108247422680412,"High","Y"
"346",3,11,"Tube",2,0.27319587628866,"High","N"
"347",3,11,"Tube",3,0.22680412371134,"High","Y"
"348",3,11,"Tube",4,0.268041237113402,"High","Y"
"349",3,11,"Tube",5,0.0360824742268041,"High","N"
"350",3,11,"Tube",6,0.0824742268041237,"High","Y"
"351",3,11,"Tube",7,0,"High","Y"
"352",3,11,"Tube",8,0.00515463917525773,"High","N"
"353",3,4,"Tube",1,0.113095238095238,"High","Y"
"354",3,4,"Tube",2,0.30952380952381,"High","N"
"355",3,4,"Tube",3,0.18452380952381,"High","Y"
"356",3,4,"Tube",4,0.31547619047619,"High","Y"
"357",3,4,"Tube",5,0.0416666666666667,"High","N"
"358",3,4,"Tube",6,0.0119047619047619,"High","Y"
"359",3,4,"Tube",7,0.0178571428571429,"High","Y"
"360",3,4,"Tube",8,0.00595238095238095,"High","N"
"361",3,10,"Tube",1,0.105555555555556,"High","Y"
"362",3,10,"Tube",2,0.311111111111111,"High","N"
"363",3,10,"Tube",3,0.183333333333333,"High","Y"
"364",3,10,"Tube",4,0.266666666666667,"High","Y"
"365",3,10,"Tube",5,0.05,"High","N"
"366",3,10,"Tube",6,0.0666666666666667,"High","Y"
"367",3,10,"Tube",7,0.0111111111111111,"High","Y"
"368",3,10,"Tube",8,0.00555555555555556,"High","N"
