"Colony","Day","Nest","Bin","PropBrood","Density","Corner"
3,6,"Tube",6,0.0108695652173913,"High","Y"
3,6,"Tube",7,0.016304347826087,"High","Y"
3,6,"Tube",8,0.00543478260869565,"High","N"
3,8,"Tube",1,0.154205607476636,"High","Y"
3,8,"Tube",2,0.285046728971963,"High","N"
3,8,"Tube",3,0.191588785046729,"High","Y"
3,8,"Tube",4,0.275700934579439,"High","Y"
3,8,"Tube",5,0.0420560747663551,"High","N"
3,8,"Tube",6,0.0327102803738318,"High","Y"
3,8,"Tube",7,0.014018691588785,"High","Y"
3,8,"Tube",8,0.00467289719626168,"High","N"
3,13,"Circle",1,0,"High","Y"
3,13,"Circle",2,0,"High","N"
3,13,"Circle",3,0.0216450216450216,"High","N"
3,13,"Circle",4,0.0909090909090909,"High","N"
3,13,"Circle",5,0.155844155844156,"High","N"
3,13,"Circle",6,0.173160173160173,"High","N"
3,13,"Circle",7,0.298701298701299,"High","N"
3,13,"Circle",8,0.25974025974026,"High","N"
3,12,"Circle",1,0,"High","Y"
3,12,"Circle",2,0,"High","N"
3,12,"Circle",3,0.00416666666666667,"High","N"
3,12,"Circle",4,0.075,"High","N"
3,12,"Circle",5,0.1375,"High","N"
3,12,"Circle",6,0.204166666666667,"High","N"
3,12,"Circle",7,0.308333333333333,"High","N"
3,12,"Circle",8,0.270833333333333,"High","N"
3,9,"Circle",1,0,"High","Y"
3,9,"Circle",2,0,"High","N"
3,9,"Circle",3,0.00904977375565611,"High","N"
3,9,"Circle",4,0.0633484162895928,"High","N"
3,9,"Circle",5,0.126696832579186,"High","N"
3,9,"Circle",6,0.212669683257919,"High","N"
3,9,"Circle",7,0.312217194570136,"High","N"
3,9,"Circle",8,0.276018099547511,"High","N"
3,6,"Circle",1,0,"High","Y"
3,6,"Circle",2,0,"High","N"
3,6,"Circle",3,0.00480769230769231,"High","N"
3,6,"Circle",4,0.0192307692307692,"High","N"
3,6,"Circle",5,0.134615384615385,"High","N"
3,6,"Circle",6,0.173076923076923,"High","N"
3,6,"Circle",7,0.307692307692308,"High","N"
3,6,"Circle",8,0.360576923076923,"High","N"
3,7,"Circle",1,0,"High","Y"
3,7,"Circle",2,0,"High","N"
3,7,"Circle",3,0.00796812749003984,"High","N"
3,7,"Circle",4,0.051792828685259,"High","N"
3,7,"Circle",5,0.119521912350598,"High","N"
3,7,"Circle",6,0.155378486055777,"High","N"
3,7,"Circle",7,0.366533864541833,"High","N"
3,7,"Circle",8,0.298804780876494,"High","N"
3,8,"Circle",1,0,"High","Y"
3,8,"Circle",2,0,"High","N"
3,8,"Circle",3,0.00442477876106195,"High","N"
3,8,"Circle",4,0.0309734513274336,"High","N"
3,8,"Circle",5,0.115044247787611,"High","N"
3,8,"Circle",6,0.20353982300885,"High","N"
3,8,"Circle",7,0.327433628318584,"High","N"
3,8,"Circle",8,0.31858407079646,"High","N"
3,11,"Circle",1,0,"High","Y"
3,11,"Circle",2,0,"High","N"
3,11,"Circle",3,0,"High","N"
3,11,"Circle",4,0.0756302521008403,"High","N"
3,11,"Circle",5,0.138655462184874,"High","N"
3,11,"Circle",6,0.235294117647059,"High","N"
