"","Colony","Nest","Day","ScaledX","ScaledY","Density","Corner","Bin","ToBrood","Sex","Ratio"
"117",12,"Tube",10,6.105740052,2.458782075,"Low","Y",7,0.387249454030798,"M",0.9
"118",12,"Tube",10,6.161522871,2.213337672,"Low","Y",7,0.409107677827291,"M",0.9
"119",12,"Tube",10,6.05243585,2.13896058,"Low","Y",7,0.412355294937858,"M",0.9
"120",12,"Tube",10,5.840461138,1.775753068,"Low","Y",7,0.44200343322337,"M",0.9
"121",12,"Tube",10,5.973099665,1.56129974,"Low","Y",7,0.461624203262612,"M",0.9
"122",12,"Tube",10,5.742530681,1.453452956,"Low","Y",7,0.470706844944937,"M",0.9
"123",12,"Tube",12,3.600151745,1.060318665,"Low","Y",1,0.367049917048918,"M",0.958333333333333
"124",12,"Tube",12,3.73292868,1.445371775,"Low","Y",1,0.36306561932176,"M",0.958333333333333
"125",12,"Tube",12,2.908763278,1.448216995,"Low","N",2,0.292384652579478,"M",0.958333333333333
"126",12,"Tube",12,2.770295903,1.510811836,"Low","N",2,0.279013105544361,"M",0.958333333333333
"127",12,"Tube",12,2.341616085,1.597116844,"Low","N",2,0.24073785721184,"M",0.958333333333333
"128",12,"Tube",12,2.276176024,1.725151745,"Low","N",2,0.231813071981375,"M",0.958333333333333
"129",12,"Tube",12,1.727996965,1.690060698,"Low","Y",3,0.300586262370552,"M",0.958333333333333
"130",12,"Tube",12,1.460546282,2.099772382,"Low","Y",3,0.268705512328733,"M",0.958333333333333
"131",12,"Tube",12,1.663505311,3.019726859,"Low","Y",4,0.193830662870338,"M",0.958333333333333
"132",12,"Tube",12,1.789643399,3.340288316,"Low","Y",4,0.18172186525638,"M",0.958333333333333
"133",12,"Tube",12,1.919575114,3.216047041,"Low","Y",4,0.17009546542791,"M",0.958333333333333
"134",12,"Tube",12,1.783952959,3.106980273,"Low","Y",4,0.182525985928912,"M",0.958333333333333
"135",12,"Tube",12,2.336874052,3.247344461,"Low","Y",4,0.133138194017382,"M",0.958333333333333
"136",12,"Tube",12,2.368171472,3.386760243,"Low","Y",4,0.130898291800103,"M",0.958333333333333
"137",12,"Tube",12,2.763657056,3.383915023,"Low","Y",4,0.0960656069413772,"M",0.958333333333333
"138",12,"Tube",12,3.885622155,3.292867982,"Low","N",5,0.00522440804022241,"M",0.958333333333333
"139",12,"Tube",12,4.146433991,3.070940819,"Low","N",5,0.0314608627287583,"M",0.958333333333333
"140",12,"Tube",12,5.188732929,3.266312595,"Low","Y",6,0.119222783071407,"M",0.958333333333333
"141",12,"Tube",12,5.548179059,3.353566009,"Low","Y",6,0.151282510156234,"M",0.958333333333333
"142",12,"Tube",12,5.96452959,3.158194234,"Low","Y",6,0.188055982405796,"M",0.958333333333333
"143",12,"Tube",12,6.020485584,2.956183612,"Low","Y",6,0.194606274355298,"M",0.958333333333333
"144",12,"Tube",12,6.195940819,2.009673748,"Low","Y",7,0.273257827282119,"F",0.958333333333333
"145",12,"Tube",12,5.483687405,1.559180577,"Low","N",8,0.322969359590892,"M",0.958333333333333
"146",12,"Tube",12,5.032245827,1.488050076,"Low","N",8,0.360556280999224,"M",0.958333333333333
"147",12,"Tube",12,4.36646434,1.759294385,"Low","N",8,0.412977625149516,"M",0.958333333333333
"148",12,"Tube",13,3.557987711,1.340245776,"Low","Y",1,0.343276334648093,"M",0.961538461538462
"149",12,"Tube",13,3.387096774,1.355606759,"Low","Y",1,0.327619932188408,"M",0.961538461538462
"150",12,"Tube",13,3.429339478,1.576420891,"Low","Y",1,0.326989157809117,"M",0.961538461538462
"151",12,"Tube",13,3.579109063,1.651305684,"Low","Y",1,0.33929572887511,"M",0.961538461538462
"152",12,"Tube",13,3.137480799,1.647465438,"Low","N",2,0.300524856912819,"M",0.961538461538462
"153",12,"Tube",13,1.98156682,1.572580645,"Low","N",2,0.208011151637731,"M",0.961538461538462
"154",12,"Tube",13,1.816436252,1.480414747,"Low","Y",3,0.311579825062053,"M",0.961538461538462
"155",12,"Tube",13,1.572580645,1.927803379,"Low","Y",3,0.273404480729115,"M",0.961538461538462
"156",12,"Tube",13,1.68202765,1.987327189,"Low","Y",3,0.266929373052732,"M",0.961538461538462
"157",12,"Tube",13,1.587941628,2.052611367,"Low","Y",3,0.262295991542934,"M",0.961538461538462
"158",12,"Tube",13,1.499615975,2.15437788,"Low","Y",3,0.255438984110059,"M",0.961538461538462
"159",12,"Tube",13,1.538018433,2.302227343,"Low","Y",3,0.241943015950067,"M",0.961538461538462
"160",12,"Tube",13,1.386328725,2.329109063,"Low","Y",3,0.24521110731589,"M",0.961538461538462
"161",12,"Tube",13,1.505376344,2.724654378,"Low","Y",3,0.210603513180706,"M",0.961538461538462
"162",12,"Tube",13,2.046850998,3.076036866,"Low","Y",4,0.1520182043663,"M",0.961538461538462
"163",12,"Tube",13,4.212110215,3.24500768,"Low","N",5,0.0402052286045468,"M",0.961538461538462
"164",12,"Tube",13,4.331157834,3.325652842,"Low","N",5,0.0514410836603713,"M",0.961538461538462
"165",12,"Tube",13,5.584356759,3.200844854,"Low","Y",6,0.161622380534344,"M",0.961538461538462
"166",12,"Tube",13,5.699564132,3.144521889,"Low","Y",6,0.171957937906237,"M",0.961538461538462
"167",12,"Tube",13,5.865336022,1.865720046,"Low","Y",7,0.287440771999898,"M",0.961538461538462
"168",12,"Tube",13,5.569637097,1.787634409,"Low","N",8,0.313937457429557,"M",0.961538461538462
"169",12,"Tube",13,5.536353687,1.571941244,"Low","N",8,0.325841254540367,"M",0.961538461538462
"170",12,"Tube",13,4.737582565,1.596261521,"Low","N",8,0.389484867904892,"F",0.961538461538462
"171",12,"Tube",13,4.873271889,1.557859063,"Low","N",8,0.37872942032777,"M",0.961538461538462
"172",12,"Tube",13,4.453404378,1.545059524,"Low","N",8,0.415015785457041,"M",0.961538461538462
"173",12,"Tube",13,4.745263057,1.451612903,"Low","N",8,0.392440318488848,"M",0.961538461538462
"174",13,"Tube",9,5.094304734,1.792714497,"Low","Y",6,0.38958100103893,"M",1
"175",13,"Tube",10,4.343283582,0.949626866,"Low","N",8,0.555458536363573,"M",1
"176",13,"Tube",11,4.467840735,0.939892802,"Low","N",8,0.386928304608254,"M",1
"177",13,"Tube",12,4.083343326,0.991047662,"Low","N",8,0.290785214602877,"M",1
"178",13,"Tube",13,4.873076923,1.157692308,"Low","Y",7,0.295364876376281,"M",1
"179",13,"Tube",14,4.382022472,1.059390048,"Low","N",8,0.248214240580146,"M",1
"180",14,"Tube",13,3.439041579,1.041226216,"Low","Y",1,0.126310347526469,"M",1
"181",14,"Tube",13,2.589852008,2.122973925,"Low","N",2,0.0286926698733831,"M",1
"182",14,"Tube",13,2.845900282,2.040755814,"Low","N",2,0.0452939287967094,"M",1
"183",14,"Tube",13,6.101714235,4.335799859,"Low","Y",6,0.398163825568606,"M",1
"184",14,"Tube",13,6.214469697,2.007869979,"Low","N",8,0.693924425207743,"M",1
"185",15,"Tube",7,3.585993541,0.856130319,"Low","Y",1,0.549356814529509,"M",0.603174603174603
"186",15,"Tube",7,3.45681421,1.106890198,"Low","Y",1,0.53023131298308,"M",0.603174603174603
"187",15,"Tube",7,3.787361322,1.3462519,"Low","Y",1,0.53098386526757,"F",0.603174603174603
"188",15,"Tube",7,3.565729483,1.381711626,"Low","Y",1,0.517919444348846,"M",0.603174603174603
"189",15,"Tube",7,3.667045973,1.703394757,"Low","Y",1,0.514322407762546,"M",0.603174603174603
"190",15,"Tube",7,3.460613602,1.847771657,"Low","Y",1,0.498966889136977,"M",0.603174603174603
"191",15,"Tube",7,3.493541033,2.193516337,"Low","Y",1,0.498398824319949,"F",0.603174603174603
"192",15,"Tube",7,3.364361702,2.164386398,"Low","Y",1,0.489704920380709,"M",0.603174603174603
"193",15,"Tube",7,3.318768997,2.083333967,"Low","Y",1,0.487043367222249,"M",0.603174603174603
"194",15,"Tube",7,3.121200608,1.959219225,"Low","N",2,0.474825883957078,"M",0.603174603174603
"195",15,"Tube",7,3.050279255,1.904762538,"Low","N",2,0.470771116056763,"M",0.603174603174603
"196",15,"Tube",7,2.494933511,2.035841565,"Low","N",2,0.431880513524927,"M",0.603174603174603
"197",15,"Tube",7,2.326495061,2.11056231,"Low","N",2,0.419674524695332,"M",0.603174603174603
"198",15,"Tube",7,2.008611322,1.99024886,"Low","N",2,0.400694602921005,"M",0.603174603174603
"199",15,"Tube",7,1.776215805,2.083966565,"Low","N",2,0.383619025868938,"M",0.603174603174603
"200",15,"Tube",7,1.764817629,1.952887538,"Low","N",2,0.386690259013304,"F",0.603174603174603
"201",15,"Tube",7,1.595744681,1.905395137,"Low","N",2,0.379334478357877,"F",0.603174603174603
"202",15,"Tube",7,1.481130319,2.199848024,"Low","N",2,0.362026378277955,"F",0.603174603174603
"203",15,"Tube",7,1.103723404,2.10106383,"Low","Y",3,0.45508031562022,"M",0.603174603174603
"204",15,"Tube",7,1.074595365,1.855370441,"Low","Y",3,0.471895327287878,"F",0.603174603174603
"205",15,"Tube",7,0.835233663,1.879431991,"Low","Y",3,0.471949633918799,"M",0.603174603174603
"206",15,"Tube",7,1.006206307,2.246707827,"Low","Y",3,0.445584799416752,"F",0.603174603174603
"207",15,"Tube",7,1.106255699,2.482270137,"Low","Y",3,0.429095187537451,"M",0.603174603174603
"208",15,"Tube",7,1.184777736,2.139057751,"Low","Y",3,0.452451322551384,"M",0.603174603174603
"209",15,"Tube",7,0.90868731,3.06231003,"Low","Y",3,0.392216824214296,"M",0.603174603174603
"210",15,"Tube",7,0.870693389,3.252279635,"Low","Y",3,0.381256763377852,"F",0.603174603174603
"211",15,"Tube",7,1.065729483,3.900708587,"Low","Y",4,0.344852203419562,"F",0.603174603174603
"212",15,"Tube",7,0.754179331,4.104610562,"Low","Y",4,0.366144453714255,"M",0.603174603174603
"213",15,"Tube",7,0.795972644,4.209726444,"Low","Y",4,0.363529323751344,"M",0.603174603174603
"214",15,"Tube",7,1.510258359,4.085613602,"Low","Y",4,0.314571669105993,"M",0.603174603174603
"215",15,"Tube",7,1.607775456,4.053951368,"Low","Y",4,0.307882286965378,"M",0.603174603174603
"216",15,"Tube",7,1.869933511,4.273049012,"Low","Y",4,0.290640922947185,"M",0.603174603174603
"217",15,"Tube",7,2.633928571,4.151785714,"Low","Y",4,0.238149210526031,"F",0.603174603174603
"218",15,"Tube",7,3.204787234,4.135638298,"Low","N",5,0.199216361995042,"M",0.603174603174603
"219",15,"Tube",7,3.223784195,4.071048632,"Low","N",5,0.19774032437899,"M",0.603174603174603
"220",15,"Tube",7,3.53343465,4.207826748,"Low","N",5,0.177197969086332,"F",0.603174603174603
"221",15,"Tube",7,3.670212766,4.395896657,"Low","N",5,0.169559595478819,"F",0.603174603174603
"222",15,"Tube",7,3.802558891,4.161601444,"Low","N",5,0.158650322171796,"M",0.603174603174603
"223",15,"Tube",7,3.772163754,4.061550152,"Low","N",5,0.160344839586052,"M",0.603174603174603
"224",15,"Tube",7,3.665780775,3.991893997,"Low","N",5,0.167511026642905,"M",0.603174603174603
"225",15,"Tube",7,3.986194909,4.098276976,"Low","N",5,0.145872355900497,"M",0.603174603174603
"226",15,"Tube",7,4.25468655,3.998227584,"Low","N",5,0.127356876142816,"M",0.603174603174603
"227",15,"Tube",7,4.830927052,4.128039514,"Low","Y",6,0.0886114320260582,"M",0.603174603174603
"228",15,"Tube",7,4.98100304,4.179331307,"Low","Y",6,0.078966544955376,"F",0.603174603174603
"229",15,"Tube",7,5.879559271,4.166033435,"Low","Y",6,0.0207239149514629,"M",0.603174603174603
"230",15,"Tube",7,6.356382979,3.977963526,"Low","Y",6,0.0159649911999229,"M",0.603174603174603
"231",15,"Tube",7,6.641337386,4.147036474,"Low","Y",6,0.0371137518475601,"M",0.603174603174603
"232",15,"Tube",7,6.419072948,4.245820669,"Low","Y",6,0.0270227831515053,"M",0.603174603174603
"233",15,"Tube",7,6.791413374,4.378799392,"Low","Y",6,0.0530042656882394,"F",0.603174603174603
"234",15,"Tube",7,6.736322188,3.436550152,"Low","Y",7,0.0570275021005289,"M",0.603174603174603
"235",15,"Tube",7,6.941489362,3.447948328,"Low","Y",7,0.0669606276308571,"F",0.603174603174603
"236",15,"Tube",7,6.926291793,3.11550152,"Low","Y",7,0.0821650485487931,"F",0.603174603174603
"237",15,"Tube",7,6.797112462,2.824848024,"Low","Y",7,0.0948467856277245,"F",0.603174603174603
"238",15,"Tube",7,6.686930091,2.828647416,"Low","Y",7,0.0919066927664018,"F",0.603174603174603
"239",15,"Tube",7,6.964285714,2.344224924,"Low","Y",7,0.129475065404322,"F",0.603174603174603
"240",15,"Tube",7,6.871200608,1.996580547,"Low","Y",7,0.149840394917886,"F",0.603174603174603
"241",15,"Tube",7,6.675531915,2.070668693,"Low","Y",7,0.141852354000487,"M",0.603174603174603
"242",15,"Tube",7,6.572948328,2.17325228,"Low","Y",7,0.133815718410956,"F",0.603174603174603
"243",15,"Tube",7,6.580547112,2.374620061,"Low","Y",7,0.120316124837664,"F",0.603174603174603
"244",15,"Tube",7,6.017604483,1.896529255,"Low","N",8,0.16068133394535,"F",0.603174603174603
"245",15,"Tube",7,6.084093845,2.269504179,"Low","N",8,0.140439290558429,"F",0.603174603174603
"246",15,"Tube",7,6.054963906,2.10106383,"Low","N",8,0.148341511871215,"F",0.603174603174603
"247",15,"Tube",7,5.583839286,2.022543693,"Low","N",8,0.178419055073111,"M",0.603174603174603
"248",15,"Tube",7,5.460993541,1.914893617,"Low","N",8,0.189158115258301,"F",0.603174603174603
"249",15,"Tube",7,6.396909195,2.084599164,"Low","Y",7,0.138802266457599,"F",0.603174603174603
"250",15,"Tube",9,3.81141046,1.281036054,"Low","Y",1,0.525543112921332,"M",0.59016393442623
"251",15,"Tube",9,3.671420365,1.254621632,"Low","Y",1,0.519758944205144,"M",0.59016393442623
"252",15,"Tube",9,3.815372425,1.665346672,"Low","Y",1,0.51524621456699,"M",0.59016393442623
"253",15,"Tube",9,3.543318146,1.712890254,"Low","Y",1,0.496445854622066,"M",0.59016393442623
"254",15,"Tube",9,3.810089144,1.922874406,"Low","Y",1,0.51220526326045,"M",0.59016393442623
"255",15,"Tube",9,3.549920761,2.163232964,"Low","Y",1,0.492925900411831,"M",0.59016393442623
"256",15,"Tube",9,3.151083597,1.868726228,"Low","N",2,0.468590001870041,"F",0.59016393442623
"257",15,"Tube",9,2.461701664,1.830427892,"Low","N",2,0.424038862698333,"F",0.59016393442623
"258",15,"Tube",9,2.667723851,1.947965531,"Low","N",2,0.435246334047465,"F",0.59016393442623
"259",15,"Tube",9,2.415477417,1.896459984,"Low","N",2,0.419597542528038,"F",0.59016393442623
"260",15,"Tube",9,2.752244453,2.142101823,"Low","N",2,0.438789912210331,"M",0.59016393442623
"261",15,"Tube",9,2.571315372,2.171156894,"Low","N",2,0.426321580847636,"F",0.59016393442623
"262",15,"Tube",9,2.142101823,2.123613312,"Low","N",2,0.397713093532502,"F",0.59016393442623
"263",15,"Tube",9,2.511885895,2.033809429,"Low","N",2,0.423625847349645,"M",0.59016393442623
"264",15,"Tube",9,1.662044374,2.082672345,"Low","N",2,0.366993457442892,"F",0.59016393442623
"265",15,"Tube",9,1.971077655,2.002113708,"Low","N",2,0.388597715814306,"M",0.59016393442623
"266",15,"Tube",9,1.951267829,1.937400951,"Low","N",2,0.389045819783272,"M",0.59016393442623
"267",15,"Tube",9,1.218304279,2.106444136,"Low","Y",3,0.445320349219667,"M",0.59016393442623
"268",15,"Tube",9,0.996434231,2.237188986,"Low","Y",3,0.436880769512511,"F",0.59016393442623
"269",15,"Tube",9,1.137743661,2.390386292,"Low","Y",3,0.425889071556045,"M",0.59016393442623
"270",15,"Tube",9,0.82078645,2.916006339,"Low","Y",3,0.394210586967389,"F",0.59016393442623
